,0,0
0,rt mayasolov a woman you should not complain about clean up your hous amp; a man you should alway take the trash out,0
1,rt mleew17 boy dat cold tyga dwn bad for cuffin dat hoe in the 1st place,0
2,rt urkindofbrand dawg rt 80sbaby4lif you ever fuck bitch and she start to cri you be confus a shit,0
3,rt anderson viva base she look like tranni,0
4,rt shenikarobert the shit you hear about me might be true or it might be faker than the bitch who told it to ya 57361;,0
5,madison the shit just blow me claim you so faith and down for somebodi but still fuck with hoe 128514; 128514; 128514;,0
6,brighterday can not just sit up and hate on anoth bitch got too much shit go on,0
7,8220; selfiequeenbri caus am tire of you big bitch come for u skinni girl 8221;,0
8,amp; you might not get ya bitch back amp; that that,0
9,rhythmixx hobbi includ fight mariam bitch,0
10,keek is bitch she curv everyon lol walk into convers like this smh,0
11,murda gang bitch it gang land,0
12,so hoe that smoke are loser yea go on ig,0
13,bad bitch is the only thing that like,0
14,bitch get up off me,0
15,bitch nigga miss me with it,0
16,bitch plz whatev,0
17,bitch who do you love,0
18,bitch get cut off everyday,0
19,black bottl amp; bad bitch,0
20,broke bitch cant tell me noth,0
21,cancel that bitch like nino,0
22,cant you see these hoe wont chang,0
23,fuck no that bitch dont even suck dick 128514; 128514; 128514; the kermit video bout to fuck ig up,0
24,got ya bitch tip toe on my hardwood floor 128514; http co cou2wq5l4q,0
25,her pussi lip like heaven door 128524;,0
26,hoe what it hit for,0
27,met that pussi on ocean dr gave that pussi pill 128524;,0
28,need trippi bitch who fuck on hennessi,0
29,spend my money how want bitch it my busi,0
30,txt my old bitch my new bitch pussi wetter,0
31,would say im back to the old me but my old bitch would get excit 128524;,0
32,if you aint bout that murder game pussi nigga shut up,0
33,if you are toe ai not done you pussi stink,0
34,im done with bitter bitch it wrap for that if you angri bird there app for that,0
35,is that ya bitch,0
36,it aint noth to cut bitch off,0
37,jus meet son now he ya mane as bitch shot,0
38,lame cri over hoe that tear of clown,0
39,like snoop said in 94 we dont love these hoe,0
40,momma said no pussi cat insid my doghous,0
41,most hate but the hoe favorit 2mw sevenon http co bmdsvmc3rc,0
42,nice girl bad make me get naughti bad yello hoe real nice bodi down south chick like em real thick http co bzrdl3000f7u,0
43,pimp up pimp up hoe down futur voic,0
44,post pictur of that pussi get 200 like,0
45,pussi is power drug 128517; happyhumpday http co r8jsymib5b,0
46,quick piec of pussi call it drive by,0
